,L,U
19840224,9.375,9.375
19840225,9.375,9.375
19840226,9.375,9.375
19840227,9.375,9.375
19840228,9.375,9.375
19840229,9.375,9.375
19840301,9.375,9.375
19840302,9.375,9.375
19840303,9.375,9.375
19840304,9.375,9.375
19840305,9.375,9.375
19840306,9.375,9.375
19840307,9.375,9.375
19840308,9.375,9.375
19840309,9.375,9.375
19840310,9.375,9.375
19840311,9.375,9.375
19840312,9.375,9.375
19840313,9.375,9.375
19840314,9.375,9.375
19840315,9.375,9.375
19840316,9.375,9.375
19840317,9.375,9.375
19840318,9.375,9.375
19840319,9.375,9.375
19840320,9.375,9.375
19840321,9.375,9.375
19840322,9.375,9.375
19840323,9.375,9.375
19840324,9.375,9.375
19840325,9.375,9.375
19840326,9.375,9.375
19840327,9.375,9.375
19840328,9.375,9.375
19840329,10.5,10.5
19840330,10.5,10.5
19840331,10.5,10.5
19840401,10.5,10.5
19840402,10.5,10.5
19840403,10.5,10.5
19840404,10.5,10.5
19840405,10.5,10.5
19840406,10.5,10.5
19840407,10.5,10.5
19840408,10.5,10.5
19840409,10.5,10.5
19840410,10.5,10.5
19840411,10.5,10.5
19840412,10.5,10.5
19840413,10.5,10.5
19840414,10.5,10.5
19840415,10.5,10.5
19840416,10.5,10.5
19840417,10.5,10.5
19840418,10.5,10.5
19840419,10.5,10.5
19840420,10.5,10.5
19840421,10.5,10.5
19840422,10.5,10.5
19840423,10.5,10.5
19840424,10.5,10.5
19840425,10.5,10.5
19840426,10.5,10.5
19840427,10.5,10.5
19840428,10.5,10.5
19840429,10.5,10.5
19840430,10.5,10.5
19840501,10.5,10.5
19840502,10.5,10.5
19840503,10.5,10.5
19840504,10.5,10.5
19840505,10.5,10.5
19840506,10.5,10.5
19840507,10.5,10.5
19840508,10.5,10.5
19840509,10.5,10.5
19840510,10.5,10.5
19840511,10.5,10.5
19840512,10.5,10.5
19840513,10.5,10.5
19840514,10.5,10.5
19840515,10.5,10.5
19840516,10.5,10.5
19840517,10.5,10.5
19840518,10.5,10.5
19840519,10.5,10.5
19840520,10.5,10.5
19840521,10.5,10.5
19840522,10.5,10.5
19840523,10.5,10.5
19840524,10.5,10.5
19840525,10.5,10.5
19840526,10.5,10.5
19840527,10.5,10.5
19840528,10.5,10.5
19840529,10.5,10.5
19840530,10.5,10.5
19840531,10.5,10.5
19840601,10.5,10.5
19840602,10.5,10.5
19840603,10.5,10.5
19840604,10.5,10.5
19840605,10.5,10.5
19840606,10.5,10.5
19840607,10.5,10.5
19840608,10.5,10.5
19840609,10.5,10.5
19840610,10.5,10.5
19840611,10.5,10.5
19840612,10.5,10.5
19840613,10.5,10.5
19840614,10.5,10.5
19840615,10.5,10.5
19840616,10.5,10.5
19840617,10.5,10.5
19840618,10.5,10.5
19840619,10.5,10.5
19840620,10.5,10.5
19840621,10.5,10.5
19840622,10.5,10.5
19840623,10.5,10.5
19840624,10.5,10.5
19840625,10.5,10.5
19840626,10.5,10.5
19840627,10.5,10.5
19840628,10.5,10.5
19840629,10.5,10.5
19840630,10.5,10.5
19840701,10.5,10.5
19840702,10.5,10.5
19840703,10.5,10.5
19840704,10.5,10.5
19840705,11.0,11.0
19840706,11.0,11.0
19840707,11.0,11.0
19840708,11.0,11.0
19840709,11.0,11.0
19840710,11.0,11.0
19840711,11.0,11.0
19840712,11.0,11.0
19840713,11.0,11.0
19840714,11.0,11.0
19840715,11.0,11.0
19840716,11.0,11.0
19840717,11.0,11.0
19840718,11.0,11.0
19840719,11.25,11.25
19840720,11.25,11.25
19840721,11.25,11.25
19840722,11.25,11.25
19840723,11.25,11.25
19840724,11.25,11.25
19840725,11.25,11.25
19840726,11.25,11.25
19840727,11.25,11.25
19840728,11.25,11.25
19840729,11.25,11.25
19840730,11.25,11.25
19840731,11.25,11.25
19840801,11.25,11.25
19840802,11.25,11.25
19840803,11.25,11.25
19840804,11.25,11.25
19840805,11.25,11.25
19840806,11.25,11.25
19840807,11.25,11.25
19840808,11.25,11.25
19840809,11.5,11.5
19840810,11.5,11.5
19840811,11.5,11.5
19840812,11.5,11.5
19840813,11.5,11.5
19840814,11.5,11.5
19840815,11.5,11.5
19840816,11.5,11.5
19840817,11.5,11.5
19840818,11.5,11.5
19840819,11.5,11.5
19840820,11.5,11.5
19840821,11.5,11.5
19840822,11.5,11.5
19840823,11.5,11.5
19840824,11.5,11.5
19840825,11.5,11.5
19840826,11.5,11.5
19840827,11.5,11.5
19840828,11.5,11.5
19840829,11.5,11.5
19840830,11.5,11.5
19840831,11.5,11.5
19840901,11.5,11.5
19840902,11.5,11.5
19840903,11.5,11.5
19840904,11.5,11.5
19840905,11.5,11.5
19840906,11.5,11.5
19840907,11.5,11.5
19840908,11.5,11.5
19840909,11.5,11.5
19840910,11.5,11.5
19840911,11.5,11.5
19840912,11.5,11.5
19840913,11.5,11.5
19840914,11.5,11.5
19840915,11.5,11.5
19840916,11.5,11.5
19840917,11.5,11.5
19840918,11.5,11.5
19840919,11.5,11.5
19840920,11.25,11.25
19840921,11.25,11.25
19840922,11.25,11.25
19840923,11.25,11.25
19840924,11.25,11.25
19840925,11.25,11.25
19840926,11.25,11.25
19840927,11.0,11.0
19840928,11.0,11.0
19840929,11.0,11.0
19840930,11.0,11.0
19841001,11.0,11.0
19841002,11.0,11.0
19841003,11.0,11.0
19841004,11.0,11.0
19841005,11.0,11.0
19841006,11.0,11.0
19841007,11.0,11.0
19841008,11.0,11.0
19841009,11.0,11.0
19841010,11.0,11.0
19841011,10.5,10.5
19841012,10.5,10.5
19841013,10.5,10.5
19841014,10.5,10.5
19841015,10.5,10.5
19841016,10.5,10.5
19841017,10.5,10.5
19841018,10.0,10.0
19841019,10.0,10.0
19841020,10.0,10.0
19841021,10.0,10.0
19841022,10.0,10.0
19841023,10.0,10.0
19841024,10.0,10.0
19841025,10.0,10.0
19841026,10.0,10.0
19841027,10.0,10.0
19841028,10.0,10.0
19841029,10.0,10.0
19841030,10.0,10.0
19841031,10.0,10.0
19841101,10.0,10.0
19841102,10.0,10.0
19841103,10.0,10.0
19841104,10.0,10.0
19841105,10.0,10.0
19841106,10.0,10.0
19841107,10.0,10.0
19841108,9.5,9.5
19841109,9.5,9.5
19841110,9.5,9.5
19841111,9.5,9.5
19841112,9.5,9.5
19841113,9.5,9.5
19841114,9.5,9.5
19841115,9.5,9.5
19841116,9.5,9.5
19841117,9.5,9.5
19841118,9.5,9.5
19841119,9.5,9.5
19841120,9.5,9.5
19841121,9.5,9.5
19841122,9.5,9.5
19841123,9.0,9.0
19841124,9.0,9.0
19841125,9.0,9.0
19841126,9.0,9.0
19841127,9.0,9.0
19841128,9.0,9.0
19841129,9.0,9.0
19841130,9.0,9.0
19841201,9.0,9.0
19841202,9.0,9.0
19841203,9.0,9.0
19841204,9.0,9.0
19841205,9.0,9.0
19841206,8.75,8.75
19841207,8.75,8.75
19841208,8.75,8.75
19841209,8.75,8.75
19841210,8.75,8.75
19841211,8.75,8.75
19841212,8.75,8.75
19841213,8.75,8.75
19841214,8.75,8.75
19841215,8.75,8.75
19841216,8.75,8.75
19841217,8.75,8.75
19841218,8.75,8.75
19841219,8.5,8.5
19841220,8.5,8.5
19841221,8.5,8.5
19841222,8.5,8.5
19841223,8.5,8.5
19841224,8.125,8.125
19841225,8.125,8.125
19841226,8.125,8.125
19841227,8.125,8.125
19841228,8.125,8.125
19841229,8.125,8.125
19841230,8.125,8.125
19841231,8.125,8.125
19850101,8.125,8.125
19850102,8.125,8.125
19850103,8.125,8.125
19850104,8.125,8.125
