Date,Close,Open,High,Low,Increase
2008年10月14日,0.269,0.269,0.269,0.269,15.45%
2008年10月10日,0.233,0.233,0.233,0.233,-54.58%
2008年10月9日,0.513,0.513,0.513,0.513,-8.88%
2008年10月8日,0.563,0.563,0.563,0.563,-19.69%
2008年10月7日,0.701,0.701,0.701,0.701,56.82%
2008年10月6日,0.447,0.447,0.447,0.447,-12.01%
2008年10月3日,0.508,0.508,0.508,0.508,-27.53%
2008年10月2日,0.701,0.701,0.701,0.701,-12.16%
2008年10月1日,0.798,0.798,0.798,0.798,-12.31%
2008年9月30日,0.91,0.91,0.91,0.91,589.39%
2008年9月29日,0.132,0.132,0.132,0.132,-84.34%
2008年9月26日,0.843,0.843,0.843,0.843,7.80%
2008年9月25日,0.782,0.782,0.782,0.782,71.12%
2008年9月24日,0.457,0.457,0.457,0.457,-43.09%
2008年9月23日,0.803,0.803,0.803,0.803,-11.17%
2008年9月22日,0.904,0.904,0.904,0.904,-10.14%
2008年9月19日,1.006,1.006,1.006,1.006,341.23%
2008年9月18日,0.228,0.228,0.228,0.228,456.10%
2008年9月17日,0.041,0.041,0.041,0.041,-94.11%
2008年9月16日,0.696,0.696,0.696,0.696,-12.12%
2008年9月15日,0.792,0.792,0.792,0.792,-46.12%
2008年9月12日,1.47,1.47,1.47,1.47,-9.76%
2008年9月11日,1.629,1.629,1.629,1.629,-0.31%
2008年9月10日,1.634,1.634,1.634,1.634,-1.21%
2008年9月9日,1.654,1.654,1.654,1.654,-2.42%
2008年9月8日,1.695,1.695,1.695,1.695,-3.47%
2008年9月5日,1.756,1.756,1.756,1.756,4.84%
2008年9月4日,1.675,1.675,1.675,1.675,-1.82%
2008年9月3日,1.706,1.706,1.706,1.706,2.22%
2008年9月2日,1.669,1.669,1.669,1.669,-3.30%
2008年8月29日,1.726,1.726,1.726,1.726,-0.58%
2008年8月28日,1.736,1.736,1.736,1.736,4.96%
2008年8月27日,1.654,1.654,1.654,1.654,-2.42%
2008年8月26日,1.695,1.695,1.695,1.695,0.89%
2008年8月25日,1.68,1.68,1.68,1.68,-1.75%
2008年8月22日,1.71,1.71,1.71,1.71,-0.06%
2008年8月21日,1.711,1.711,1.711,1.711,0.94%
2008年8月20日,1.695,1.695,1.695,1.695,-5.99%
2008年8月19日,1.803,1.803,1.803,1.803,1.46%
2008年8月18日,1.777,1.777,1.777,1.777,-3.84%
2008年8月15日,1.848,1.848,1.848,1.848,-0.86%
2008年8月14日,1.864,1.864,1.864,1.864,0.81%
2008年8月13日,1.849,1.849,1.849,1.849,-0.27%
2008年8月12日,1.854,1.854,1.854,1.854,3.17%
2008年8月11日,1.797,1.797,1.797,1.797,6.65%
2008年8月8日,1.685,1.685,1.685,1.685,0.30%
2008年8月7日,1.68,1.68,1.68,1.68,2.82%
2008年8月6日,1.634,1.634,1.634,1.634,-5.88%
2008年8月5日,1.736,1.736,1.736,1.736,1.52%
2008年8月4日,1.71,1.71,1.71,1.71,3.07%
2008年8月1日,1.659,1.659,1.659,1.659,-0.66%
2008年7月31日,1.67,1.67,1.67,1.67,-1.76%
2008年7月30日,1.7,1.7,1.7,1.7,-1.22%
2008年7月29日,1.721,1.721,1.721,1.721,1.53%
2008年7月28日,1.695,1.695,1.695,1.695,-2.64%
2008年7月25日,1.741,1.741,1.741,1.741,6.55%
2008年7月24日,1.634,1.634,1.634,1.634,5.62%
2008年7月23日,1.547,1.547,1.547,1.547,-0.32%
2008年7月22日,1.552,1.552,1.552,1.552,8.99%
2008年7月21日,1.424,1.424,1.424,1.424,-3.46%
