Date,Close,Open,High,Low,Increase
2009年6月3日,2.424,2.424,2.424,2.424,-2.69%
2009年6月2日,2.491,2.491,2.491,2.491,-1.46%
2009年6月1日,2.528,2.528,2.528,2.528,7.94%
2009年5月29日,2.342,2.342,2.342,2.342,-4.02%
2009年5月28日,2.44,2.44,2.44,2.44,0.04%
2009年5月27日,2.439,2.439,2.439,2.439,5.91%
2009年5月26日,2.303,2.303,2.303,2.303,4.49%
2009年5月22日,2.204,2.204,2.204,2.204,2.23%
2009年5月21日,2.156,2.156,2.156,2.156,6.57%
2009年5月20日,2.023,2.023,2.023,2.023,-3.71%
2009年5月19日,2.101,2.101,2.101,2.101,-0.19%
2009年5月18日,2.105,2.105,2.105,2.105,5.20%
2009年5月15日,2.001,2.001,2.001,2.001,2.09%
2009年5月14日,1.96,1.96,1.96,1.96,-0.66%
2009年5月13日,1.973,1.973,1.973,1.973,-2.04%
2009年5月12日,2.014,2.014,2.014,2.014,-0.35%
2009年5月11日,2.021,2.021,2.021,2.021,-5.56%
2009年5月8日,2.14,2.14,2.14,2.14,-1.56%
2009年5月7日,2.174,2.174,2.174,2.174,6.26%
2009年5月6日,2.046,2.046,2.046,2.046,-0.15%
2009年5月5日,2.049,2.049,2.049,2.049,0.99%
2009年5月4日,2.029,2.029,2.029,2.029,0.74%
2009年5月1日,2.014,2.014,2.014,2.014,0.20%
2009年4月30日,2.01,2.01,2.01,2.01,-1.08%
2009年4月29日,2.032,2.032,2.032,2.032,5.18%
2009年4月28日,1.932,1.932,1.932,1.932,4.83%
2009年4月27日,1.843,1.843,1.843,1.843,-5.49%
2009年4月24日,1.95,1.95,1.95,1.95,3.34%
2009年4月23日,1.887,1.887,1.887,1.887,-0.74%
2009年4月22日,1.901,1.901,1.901,1.901,2.20%
2009年4月21日,1.86,1.86,1.86,1.86,2.88%
2009年4月20日,1.808,1.808,1.808,1.808,-4.84%
2009年4月17日,1.9,1.9,1.9,1.9,6.56%
2009年4月16日,1.783,1.783,1.783,1.783,4.15%
2009年4月15日,1.712,1.712,1.712,1.712,-0.98%
2009年4月14日,1.729,1.729,1.729,1.729,-4.63%
2009年4月13日,1.813,1.813,1.813,1.813,-4.38%
2009年4月9日,1.896,1.896,1.896,1.896,3.21%
2009年4月8日,1.837,1.837,1.837,1.837,-1.08%
2009年4月7日,1.857,1.857,1.857,1.857,-2.21%
2009年4月6日,1.899,1.899,1.899,1.899,1.71%
2009年4月3日,1.867,1.867,1.867,1.867,6.69%
2009年4月2日,1.75,1.75,1.75,1.75,6.58%
2009年4月1日,1.642,1.642,1.642,1.642,-1.20%
2009年3月31日,1.662,1.662,1.662,1.662,-3.93%
2009年3月30日,1.73,1.73,1.73,1.73,-4.10%
2009年3月27日,1.804,1.804,1.804,1.804,0.06%
2009年3月26日,1.803,1.803,1.803,1.803,6.31%
2009年3月25日,1.696,1.696,1.696,1.696,-2.36%
2009年3月24日,1.737,1.737,1.737,1.737,3.76%
2009年3月23日,1.674,1.674,1.674,1.674,1.76%
2009年3月20日,1.645,1.645,1.645,1.645,0.30%
2009年3月19日,1.64,1.64,1.64,1.64,3.80%
2009年3月18日,1.58,1.58,1.58,1.58,-20.20%
2009年3月17日,1.98,1.98,1.98,1.98,2.96%
2009年3月16日,1.923,1.923,1.923,1.923,2.67%
2009年3月13日,1.873,1.873,1.873,1.873,-1.58%
2009年3月12日,1.903,1.903,1.903,1.903,-2.06%
2009年3月11日,1.943,1.943,1.943,1.943,-3.00%
2009年3月10日,2.003,2.003,2.003,2.003,6.43%
2009年3月9日,1.882,1.882,1.882,1.882,-0.16%
2009年3月6日,1.885,1.885,1.885,1.885,4.55%
2009年3月5日,1.803,1.803,1.803,1.803,-6.97%
2009年3月4日,1.938,1.938,1.938,1.938,5.67%
2009年3月3日,1.834,1.834,1.834,1.834,0.55%
2009年3月2日,1.824,1.824,1.824,1.824,-8.43%
2009年2月27日,1.992,1.992,1.992,1.992,-4.09%
2009年2月26日,2.077,2.077,2.077,2.077,3.54%
2009年2月25日,2.006,2.006,2.006,2.006,6.53%
2009年2月24日,1.883,1.883,1.883,1.883,4.15%
2009年2月23日,1.808,1.808,1.808,1.808,-1.79%
2009年2月20日,1.841,1.841,1.841,1.841,-2.07%
2009年2月19日,1.88,1.88,1.88,1.88,3.41%
2009年2月18日,1.818,1.818,1.818,1.818,9.25%
2009年2月17日,1.664,1.664,1.664,1.664,-11.54%
2009年2月13日,1.881,1.881,1.881,1.881,6.51%
2009年2月12日,1.766,1.766,1.766,1.766,0.74%
2009年2月11日,1.753,1.753,1.753,1.753,0.06%
2009年2月10日,1.752,1.752,1.752,1.752,-11.25%
2009年2月9日,1.974,1.974,1.974,1.974,0.10%
2009年2月6日,1.972,1.972,1.972,1.972,4.06%
2009年2月5日,1.895,1.895,1.895,1.895,-1.97%
2009年2月4日,1.933,1.933,1.933,1.933,1.47%
2009年2月3日,1.905,1.905,1.905,1.905,8.36%
2009年2月2日,1.758,1.758,1.758,1.758,-6.49%
2009年1月30日,1.88,1.88,1.88,1.88,-1.31%
2009年1月29日,1.905,1.905,1.905,1.905,12.32%
2009年1月28日,1.696,1.696,1.696,1.696,4.63%
2009年1月27日,1.621,1.621,1.621,1.621,-2.29%
